acceleration,firstpost_date,highlight,influential,metrics,momentum,peak,score,title,trackback_date,trackback_total,type,url
51,"Aug 05, 2012 21:18 (UTC)",RT @talksciencetome: Interviews with participants at #PPSR2012 now on YouTube: What PPSR needs now. http://t.co/ojpA7MJN #fb #ESA2012,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,15,10.5597,What PPRS Needs Now,"Aug 06, 2012 02:22 (UTC)",6,video,http://www.youtube.com/watch?v=O28LjBVppl8
87,"Aug 17, 2012 18:28 (UTC)",I just posted my 2012 ESA talk from Portland. Check it out.  #esa2012 #revolutionarymigration http://t.co/Jl4NrUMG,0,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,4,8.75002,I just posted my 2012 ESA talk from Portland. Check it out.  #esa2012 #revolutionarymigration,"Aug 17, 2012 18:28 (UTC)",3,video,http://vimeo.com/47733767
40,"Dec 18, 2010 06:01 (UTC)","My prep for #ESA2012 is going well: writing talk, listening to #TheDecemberists, watching #Portlandia http://t.co/keXU1j0y",164,"[0, 0, 2, 1, 1, 0, 0, 1, 1, 0, 4, 1, 0, 2, 1, 0, 0, 0, 1, 2, 5, 4, 0, 1, 0, 1, 1, 3, 3, 4]",16,20,8.2536,Portlandia - Dream of the 90s,"Aug 01, 2012 05:52 (UTC)",1183,video,http://www.youtube.com/watch?v=FE_9CzLCbkY
54,"Aug 07, 2012 17:17 (UTC)","Now up: Will Steffen, on the wicked problem of global change (check out his vid on the Anthropocene http://t.co/ZfuCTk9d) #ESA2012",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,14,6.63117,Will Steffen: The Age of the Anthropocene,"Aug 07, 2012 17:17 (UTC)",2,video,http://www.youtube.com/watch?v=25tdM8NeSYc
