user.screen_name,user.name,user.id_str,user.created_at,user.description,user.location,user.url,user.followers_count,user.friends_count,user.statuses_count,user.lang,user.time_zone,user.geo_enabled,user.verified,topsy.influence,text,id_str,created_at,retweet_count,in_reply_to_screen_name,in_reply_to_status_id_str,source,coordinates.type,coordinates.coordinates.0,coordinates.coordinates.1,topsy.location.search_id,topsy.document_info.lang,topsy.document_info.sentiment	
NenaChavez,Isora Chavez,54075859,Mon Jul 06 01:59:31 +0000 2009,"Comunicadora con experiencia en RRPP, RSE, Marketing y 2.0. Curiosa, ecléctica. Adoro el café, el cine, la música, el yoga, caminar y aprender.",,,516,911,4290,en,Caracas,,,,Gracias a Saul Uzcátegui diario @TalCualDigital por la nota sobre #ESA2012 en la edición de ayer @FundacionVSL http://t.co/nJjJtsfo,225582217450102786,Wed Jul 18 13:26:06 +0000 2012,,,,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,,,us,es,	
RudyGetBail,Eric Watson,22554631,Mon Mar 02 23:48:39 +0000 2009,"PhD candidate in evolutionary genetics, avid gardener, minimalist, bicycle commuter, and loving life!","Arlington, TX",,25,95,230,en,Pacific Time (US & Canada),True,,,"@RSocPublishing I wish I was going to #ESA2012, but I will be staying put.",225592525061242880,Wed Jul 18 14:07:03 +0000 2012,,RSocPublishing,225527653967470593,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",,,,us,en,	
sandramchung,Sandra M. Chung,83197636,Sat Oct 17 19:03:05 +0000 2009,"Science writer, multimedia producer, swing dancer. Likes: environment, energy, food, robots, radio, data visualization, using my powers for good.",USA,http://www.sandrachung.com/,291,333,1018,en,Pacific Time (US & Canada),,,,RT @NEONInc: No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/nzAzAGMQ @ social media wkshop http://t.co/EUC23SjX,225607605249249281,Wed Jul 18 15:06:59 +0000 2012,2,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
LizNeeley,LizNeeley,17396170,Fri Nov 14 21:24:59 +0000 2008,"Assistant Director of Science Outreach at COMPASS. Mixing up a passion for ocean science, journalism, communication, & behavior with a love of gorgeous design.",Seattle,http://www.COMPASSonline.org,2629,1265,4508,en,Alaska,,,,@carlystrasser Nice! Will I see you at #ESA2012 or maybe #AAASmtg?,225633179015446528,Wed Jul 18 16:48:36 +0000 2012,,carlystrasser,225603938395766784,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,1	
carlystrasser,Carly Strasser,190246525,Mon Sep 13 13:26:52 +0000 2010,"Marine scientist by training, now at California Digital Library getting scientists excited about data management, sharing, and archiving. ","Berkeley, CA",http://carlystrasser.net,508,400,1341,en,Pacific Time (US & Canada),,,,@LizNeeley #ESA2012!,225633664397090816,Wed Jul 18 16:50:32 +0000 2012,,LizNeeley,225633179015446528,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",,,,us,en,	
carlystrasser,Carly Strasser,190246525,Mon Sep 13 13:26:52 +0000 2010,"Marine scientist by training, now at California Digital Library getting scientists excited about data management, sharing, and archiving. ","Berkeley, CA",http://carlystrasser.net,508,400,1346,en,Pacific Time (US & Canada),,,,@labroides @LizNeeley y'all know @_inundata? We are in discussions about a #portlandia #ESA2012 video; IMO #WHOI should feature prominently.,225635265224507393,Wed Jul 18 16:56:53 +0000 2012,,labroides,225634231970304000,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>",,,,us,en,	
carlystrasser,Carly Strasser,190246525,Mon Sep 13 13:26:52 +0000 2010,"Marine scientist by training, now at California Digital Library getting scientists excited about data management, sharing, and archiving. ","Berkeley, CA",http://carlystrasser.net,507,402,1348,en,Pacific Time (US & Canada),,,,@labroides @lizneeley @_inundata stand by- adding birds to all @DataONEorg presentations for #ESA2012,225638430326001664,Wed Jul 18 17:09:28 +0000 2012,,labroides,225638188096565248,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",,,,us,en,	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4977,423,1386,en,Eastern Time (US & Canada),,,,RT @carlystrasser: @labroides @lizneeley @_inundata stand by- adding birds to all @DataONEorg presentations for #ESA2012 // Excellent!,225651242926501888,Wed Jul 18 18:00:23 +0000 2012,,,,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",,,,us,en,1	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4977,423,1389,en,Eastern Time (US & Canada),,,,"Putting a bird on it, explained. http://t.co/FU3PJfrC #ESA2012 #Portlandia",225651802635399168,Wed Jul 18 18:02:36 +0000 2012,,,,web,,,,us,en,	
kaskadia,Kit R,24167293,Fri Mar 13 13:09:05 +0000 2009,Internetworking in the virtual world towards a sustainable physical one ,Cascadia,,6987,4125,52967,en,Pacific Time (US & Canada),,,,"RT @ESA_org: Putting a bird on it, explained. http://t.co/FU3PJfrC #ESA2012 #Portlandia",225652200242819072,Wed Jul 18 18:04:11 +0000 2012,,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
