acceleration,firstpost_date,highlight,influential,medium_thumbnail,metrics,momentum,peak,score,small_thumbnail,title,trackback_date,trackback_total,type,url
60,"Aug 08, 2012 21:50 (UTC)","Wish I was there! RT @LizNeeley: Yeah, can&#39;t even get close to door of A106 for Mary Ruckleshaus talk! #ESA2012 http://t.co/Bc985Pn4",0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzzqnNlCEAAJQyt.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,10.5813,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzzqnNlCEAAJQyt.jpg%3Asmall,"Yeah, can't even get close to door of A106 for Mary Ruckleshaus talk! #ESA2012","Aug 08, 2012 22:33 (UTC)",2,image,http://p.twimg.com/AzzqnNlCEAAJQyt.jpg
50,"Aug 06, 2012 18:25 (UTC)",Starting to wonder if this #ESA2012 session on social media is really for me... http://t.co/g8mMNClg,0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azoog3kCYAAiGJ9.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,15,10.5329,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azoog3kCYAAiGJ9.jpg%3Asmall,Starting to wonder if this #ESA2012 session on social media is really for me...,"Aug 06, 2012 18:25 (UTC)",2,image,http://p.twimg.com/Azoog3kCYAAiGJ9.jpg
64,"Aug 09, 2012 21:52 (UTC)","These ornamental plants are free to good homes: kinnikinnick, tufted hair grass, and lilac #esa2012 http://t.co/IUKLilUo",0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az40zjTCQAAN58q.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,11,10.3976,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az40zjTCQAAN58q.jpg%3Asmall,"These ornamental plants are free to good homes: kinnikinnick, tufted hair grass, and lilac #esa2012","Aug 09, 2012 21:52 (UTC)",2,image,http://p.twimg.com/Az40zjTCQAAN58q.jpg
60,"Aug 09, 2012 17:24 (UTC)",Today&#39;s your last chance until Ecosummit to pick up NEON schwag at our booth! #esa2012 http://t.co/AVNicZJR,0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az33ZjmCUAAhJo_.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,10.3577,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az33ZjmCUAAhJo_.jpg%3Asmall,Today's your last chance until Ecosummit to pick up NEON schwag at our booth! #esa2012,"Aug 09, 2012 17:24 (UTC)",2,image,http://p.twimg.com/Az33ZjmCUAAhJo_.jpg
54,"Aug 07, 2012 14:27 (UTC)",ESA President Steward Pickett welcomes young ecologists at the networking roundtable event! #ESA2012 #esa2012students http://t.co/oecJe7Vb,0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azs7tgACcAAjTio.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,14,10.344,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azs7tgACcAAjTio.jpg%3Asmall,ESA President Steward Pickett welcomes young ecologists at the networking roundtable event! #ESA2012 #esa2012students,"Aug 07, 2012 14:27 (UTC)",2,image,http://p.twimg.com/Azs7tgACcAAjTio.jpg
50,"Aug 06, 2012 04:27 (UTC)",@MiriamGoldste @jebyrnes I&#39;ll see your pickle and raise you a line outside a boutique ice cream #Portlandia #ESA2012 http://t.co/UFFaRWDx,1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azloq8lCYAArpYT.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,15,10.2731,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azloq8lCYAArpYT.jpg%3Asmall,I'll see your pickle and raise you a line outside a boutique ice cream #Portlandia #ESA2012,"Aug 06, 2012 04:27 (UTC)",2,image,http://p.twimg.com/Azloq8lCYAArpYT.jpg
60,"Aug 09, 2012 11:19 (UTC)",Just got this new follower alert. Can I include it in my RTP file for colleagues who think I waste time here? #ESA2012 http://t.co/2rSidVv7,1,https://sis-tunnel.topsy.com/http%3A//twitpic.com/show/thumb/ah9fjd,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,12,9.99429,https://sis-tunnel.topsy.com/http%3A//twitpic.com/show/mini/ah9fjd,Just got this new follower alert. Can I include it in my RTP file for colleagues who think I waste time here? #ESA2012,"Aug 09, 2012 11:19 (UTC)",1,image,http://twitpic.com/ah9fjd
44,"Aug 04, 2012 15:38 (UTC)",Public Participation for Scientific Research #ESA2012 http://t.co/d9ivWtHR,0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzdvQGNCcAEPMwS.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17,9.96793,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzdvQGNCcAEPMwS.jpg%3Asmall,Public Participation for Scientific Research #ESA2012,"Aug 04, 2012 15:38 (UTC)",1,image,http://p.twimg.com/AzdvQGNCcAEPMwS.jpg
47,"Aug 05, 2012 17:00 (UTC)",I&#39;ve got a busy week ahead of me at #ESA2012. I can&#39;t wait! http://t.co/DTh4b7oT,1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzjLioECQAA_kL_.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,16,9.93058,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzjLioECQAA_kL_.jpg%3Asmall,I've got a busy week ahead of me at #ESA2012. I can't wait!,"Aug 05, 2012 17:00 (UTC)",1,image,http://p.twimg.com/AzjLioECQAA_kL_.jpg
50,"Aug 06, 2012 00:16 (UTC)",Having a great time with my buddy Scott at the Portland Timbers game. A great way to kick off #ESA2012 http://t.co/MFe2gsdl,1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzkvaGLCEAAz1Y0.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,15,9.91719,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzkvaGLCEAAz1Y0.jpg%3Asmall,Having a great time with my buddy Scott at the Portland Timbers game. A great way to kick off #ESA2012,"Aug 06, 2012 00:16 (UTC)",1,image,http://p.twimg.com/AzkvaGLCEAAz1Y0.jpg
