keyword,metric,acceleration,average,momentum,peak,stddev,total
#esa2012,influential,40.20156775,1.435691318,359,"Aug 08, 2012 21:00 (UTC)",5.37903033,893
#esa2012,mentions,45.13981358,10.86655949,3051,"Aug 08, 2012 21:00 (UTC)",32.01285726,6759
