"","screen_name","name","id","desc","location","url","followers","friends","status_count","lang","time_zone","geo","verified","influence","text","tweet_id","tweet_date","retweets","in_reply_to","reply_id","source","coords_type","cooords_lat","coords_long","location_search_id","doc_lang","sentiment"
"1","ESA_org","Ecological Society",18049298,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC","http://www.esa.org",4959,421,1380,"en","Eastern Time (US & Canada)","","",NA,"The Regular rate for #ESA2012 registration ends at 5:00 PM Eastern today! http://t.co/3TvIBDvu",224886197128937472,2008-12-11 07:25:38,NA,"",NA,"web","",NA,NA,"us","en",NA
"2","labroides","Dr. Wrasse",110031075,"I'm a marine biologist who liked to swear too much to keep a professional profile. ","Chicago, IL;  Suva, Fiji","",893,397,18277,"en","Mountain Time (US & Canada)","True","",NA,"I feel that it is totally worth $34 to get an exit row from JFK/SEA and from SFO/JFK!! #ESA2012",224889722030399488,2010-01-30 19:20:58,NA,"",NA,"web","",NA,NA,"us","en",NA
"3","ESA_org","Ecological Society",18049298,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC","http://www.esa.org",4960,421,1381,"en","Eastern Time (US & Canada)","","",NA,"As of Friday, 3703 people registered for #ESA2012! Portland's well on track to be the largest ESA meeting. http://t.co/8JgOb2tz",224900302367756288,2008-12-11 07:25:38,NA,"",NA,"web","",NA,NA,"us","en",1
"4","ESA_org","Ecological Society",18049298,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC","http://www.esa.org",4965,423,1384,"en","Eastern Time (US & Canada)","","",NA,"Advanced registration rates for #ESA2012 have ended, but you can still register online to avoid a line. http://t.co/3TvIBDvu",225257786710302720,2008-12-11 07:25:38,NA,"",NA,"web","",NA,NA,"us","en",NA
"5","ESA_org","Ecological Society",18049298,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC","http://www.esa.org",4965,423,1385,"en","Eastern Time (US & Canada)","","",NA,"We'll tweet when the online form has closed, closer to the conference. You can always register on site as well. #ESA2012",225258087014088704,2008-12-11 07:25:38,NA,"",NA,"web","",NA,NA,"us","en",1
"6","ESA_org","Ecological Society",18049298,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC","http://www.esa.org",4969,423,1385,"en","Eastern Time (US & Canada)","","",NA,"We could use some help filling the Buell award judging assignments for #ESA2012. See Facebook for more info. https://t.co/vxWFZq77",225324472834600960,2008-12-11 07:25:38,NA,"",NA,"web","",NA,NA,"us","en",1
"7","nceas","NCEAS",31618599,"National Center for Ecological Analysis & Synthesis, a research center focused on analysis & synthesis of existing data related to ecology & the environment.","Santa Barbara, CA","http://www.nceas.ucsb.edu",670,374,1277,"en","Pacific Time (US & Canada)","","",NA,"RT @ESA_org: We could use some help filling the Buell award judging assignments for #ESA2012. See Facebook for more info. https://t.co/v ...",225327348646555648,2009-04-15 20:01:00,NA,"",NA,"web","",NA,NA,"us","en",1
"8","NEONInc","NEON, Inc.",44483406,"NEON, Inc. contributes to environmental understanding and decisions using continental-scale ecological data. Tweets by Sandra Chung and Jennifer Walton.	
	
","Boulder, Colorado","http://www.neoninc.org",941,465,701,"en","Mountain Time (US & Canada)","","",NA,"No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/nzAzAGMQ @ social media wkshop http://t.co/EUC23SjX",225385691285176320,2009-06-03 16:04:44,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",NA
"9","carlystrasser","Carly Strasser",190246525,"Marine scientist by training, now at California Digital Library getting scientists excited about data management, sharing, and archiving. ","Berkeley, CA","http://www.carlystrasser.net",497,396,1322,"en","Pacific Time (US & Canada)","","",NA,"RT @neoninc: No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/Zbze4J3N @ social media wkshop http://t.co/uqoi2BNA",225392117709668352,2010-09-13 06:26:52,NA,"",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","",NA,NA,"us","en",NA
"10","msanclem","Mike SanClements",21828867,"Ecosystem ecologist interested in climate & energy. Fan of trail running, fiction, & the sounds of live music & baseball on the radio. Views are mine","Boulder, CO","http://www.mike-sanclements.com/",616,1163,4884,"en","","","",NA,"RT @carlystrasser: RT @neoninc: No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/Zbze4J3N @ social media wkshop h ...",225392511957475328,2009-02-24 19:00:00,NA,"",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","",NA,NA,"us","en",NA
"11","sunjam","Chad Sundol",28745539,"Audiophile, naturalist, conservationist, & devoted husband","","",65,245,340,"en","Central Time (US & Canada)","","",NA,"RT @NEONInc: No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/nzAzAGMQ @ social media wkshop http://t.co/EUC23SjX",225395247679680512,2009-04-03 22:14:19,NA,"",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","",NA,NA,"","en",NA
