acceleration,author_author_img,author_description,author_image_url,author_influence_level,author_name,author_nick,author_topsy_author_url,author_type,author_url,firstpost_date,highlight,influential,metrics,momentum,peak,score,title,trackback_date,trackback_total,type,url
57,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,"Marine biologist researching plankton and plastic in the North Pacific Gyre, science communicator, blogger at #DeepSN, and general enthusiast.",http://a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,0,Miriam Goldstein,miriamgoldste,http://topsy.com/twitter/miriamgoldste?utm_source=otter,twitter,http://twitter.com/miriamgoldste,"Aug 07, 2012 23:45 (UTC)",Jeremy Long has just explained Jay-Zâ€™s 99 Problems in the context of salt marsh scale insects. With actual rapping. EPIC. #ESA2012 @bug_girl,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,13,11.3653,Jeremy Long has just explained Jay-Zâ€™s 99 Problems in the context of salt marsh scale insects. With actual rapping. EPIC. #ESA2012 @bug_girl,"Aug 07, 2012 23:47 (UTC)",4,tweet,http://twitter.com/miriamgoldste/status/232985965835198465
55,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1196997170/Jeremiah_profile_BW_crop_Dec2010-1_normal.jpg,"Aquatic/Landscape Ecologist, scientist, husband, father, friend, camper, backpacker, fisher, hunter, diver, community activist, geocacher, author, naturalist",http://a0.twimg.com/profile_images/1196997170/Jeremiah_profile_BW_crop_Dec2010-1_normal.jpg,7,J. Osborne-Gowey,jeremiahosgo,http://topsy.com/twitter/jeremiahosgo?utm_source=otter,twitter,http://twitter.com/jeremiahosgo,"Aug 07, 2012 20:39 (UTC)","RT @as6699: #esa2012 Note to self: check out Ecological Archives, a peer reviewed dataset publication. Citeable and counts as a publication",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,14,11.3767,"RT @as6699: #esa2012 Note to self: check out Ecological Archives, a peer reviewed dataset publication. Citeable and counts as a publication","Aug 07, 2012 20:46 (UTC)",4,tweet,http://twitter.com/jeremiahosgo/status/232939163207475200
60,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,"Marine biologist researching plankton and plastic in the North Pacific Gyre, science communicator, blogger at #DeepSN, and general enthusiast.",http://a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,0,Miriam Goldstein,miriamgoldste,http://topsy.com/twitter/miriamgoldste?utm_source=otter,twitter,http://twitter.com/miriamgoldste,"Aug 09, 2012 17:15 (UTC)","Caffeine in Oregon coastal ocean! Intertidal mussels were stressed at 15ng/L of tasty, tasty caffeine. -E Granek #ESA2012",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,11.3854,"Caffeine in Oregon coastal ocean! Intertidal mussels were stressed at 15ng/L of tasty, tasty caffeine. -E Granek #ESA2012","Aug 09, 2012 17:18 (UTC)",4,tweet,http://twitter.com/miriamgoldste/status/233612582626406400
52,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1100764495/Boat_normal.JPG,aspiring science librarian.  enjoys baking bread.,http://a0.twimg.com/profile_images/1100764495/Boat_normal.JPG,0,sarahb,lovesthesox,http://topsy.com/twitter/lovesthesox?utm_source=otter,twitter,http://twitter.com/lovesthesox,"Aug 06, 2012 20:03 (UTC)",has anyone initiated a long(ish?)-lasting collaboration via a twitter or other social media interaction?  #esasocial #esa2012,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,15,11.4135,has anyone initiated a long(ish?)-lasting collaboration via a twitter or other social media interaction?  #esasocial #esa2012,"Aug 06, 2012 23:02 (UTC)",4,tweet,http://twitter.com/lovesthesox/status/232567508903804929
50,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/77625576/esa_normal.jpg,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for updates on membership, meetings, blogs, podcasts, and more!",http://a0.twimg.com/profile_images/77625576/esa_normal.jpg,0,Ecological Society,esa_org,http://topsy.com/twitter/esa_org?utm_source=otter,twitter,http://twitter.com/esa_org,"Aug 06, 2012 00:43 (UTC)","precautionary approach to arctic fisheries: research first. A remarkably cooperative policy, says Lubchenco #ESA2012 keynote",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,15,11.4297,"precautionary approach to arctic fisheries: research first. A remarkably cooperative policy, says Lubchenco #ESA2012 keynote","Aug 06, 2012 00:49 (UTC)",4,tweet,http://twitter.com/esa_org/status/232275570535313409
62,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,"Practicing science synthesis and communication for UW College of the Environment. Fueled by science, yoga, wild places, husband, dogs, gardens, wonderment, joy",http://a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,0,Jen Davison,jenedavison,http://topsy.com/twitter/jenedavison?utm_source=otter,twitter,http://twitter.com/jenedavison,"Aug 09, 2012 20:37 (UTC)","Check out electronic field guilde Leafsnap http://t.co/uEHeVQ1R, use your smart phone to ID trees by taking pix of their leaves! #ESA2012",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,11.449,"Check out electronic field guilde Leafsnap http://t.co/uEHeVQ1R, use your smart phone to ID trees by taking pix of their leaves! #ESA2012","Aug 09, 2012 20:37 (UTC)",4,tweet,http://twitter.com/jenedavison/status/233663190821642241
60,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,"Marine biologist researching plankton and plastic in the North Pacific Gyre, science communicator, blogger at #DeepSN, and general enthusiast.",http://a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,0,Miriam Goldstein,miriamgoldste,http://topsy.com/twitter/miriamgoldste?utm_source=otter,twitter,http://twitter.com/miriamgoldste,"Aug 08, 2012 22:42 (UTC)",OH BOY OH BOY it&#39;s @jebyrnes! Take-home is first: &quot;engaging with colleagues using online tools will improve ur science!&quot; #ESA2012 #scio13,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,10.8898,OH BOY OH BOY it&#39;s @jebyrnes! Take-home is first: &quot;engaging with colleagues using online tools will improve ur science!&quot; #ESA2012 #scio13,"Aug 08, 2012 22:50 (UTC)",3,tweet,http://twitter.com/miriamgoldste/status/233332259825004545
60,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,"Marine biologist researching plankton and plastic in the North Pacific Gyre, science communicator, blogger at #DeepSN, and general enthusiast.",http://a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,0,Miriam Goldstein,miriamgoldste,http://topsy.com/twitter/miriamgoldste?utm_source=otter,twitter,http://twitter.com/miriamgoldste,"Aug 08, 2012 22:52 (UTC)","Yes, join the very vigorous online science conversation! @jebyrnes plugs @seamonsterblog &amp; Jeremy Fox&#39;s blog as good examples. #ESA2012",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,10.9383,"Yes, join the very vigorous online science conversation! @jebyrnes plugs @seamonsterblog &amp; Jeremy Fox&#39;s blog as good examples. #ESA2012","Aug 08, 2012 22:52 (UTC)",3,tweet,http://twitter.com/miriamgoldste/status/233334782803705857
60,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,"Marine biologist researching plankton and plastic in the North Pacific Gyre, science communicator, blogger at #DeepSN, and general enthusiast.",http://a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,0,Miriam Goldstein,miriamgoldste,http://topsy.com/twitter/miriamgoldste?utm_source=otter,twitter,http://twitter.com/miriamgoldste,"Aug 09, 2012 17:12 (UTC)",Tips on household cleaners from @ewgtoxics:donâ€™t use fabric softeners; donâ€™t buy products wo ingredient list; beware greenwashing. #ESA2012,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,10.9506,Tips on household cleaners from @ewgtoxics:donâ€™t use fabric softeners; donâ€™t buy products wo ingredient list; beware greenwashing. #ESA2012,"Aug 09, 2012 17:17 (UTC)",3,tweet,http://twitter.com/miriamgoldste/status/233611766091902976
57,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1984853733/kaproth_normal.jpg,I'm a plant ecologist - studying populations out of control (too many or too few) and the mechanisms that drive species success.,http://a0.twimg.com/profile_images/1984853733/kaproth_normal.jpg,0,Matthew Kaproth,mkaproth,http://topsy.com/twitter/mkaproth?utm_source=otter,twitter,http://twitter.com/mkaproth,"Aug 08, 2012 00:35 (UTC)","CNN asks &quot;After Mars landing, is science cool again?&quot;. At #ESA2012 science has always been cool! http://t.co/WMsXsXKE #cnn",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,13,6.57716,"CNN asks &quot;After Mars landing, is science cool again?&quot;. At #ESA2012 science has always been cool! http://t.co/WMsXsXKE #cnn","Aug 08, 2012 00:35 (UTC)",5,tweet,http://twitter.com/mkaproth/status/232998406807760896
