keyword,Time (UTC),timestamp,influential,mentions
#esa2012,"Jul 30, 2012 18:00 (UTC)",1343671200,1,10
#esa2012,"Jul 30, 2012 19:00 (UTC)",1343674800,0,2
#esa2012,"Jul 30, 2012 20:00 (UTC)",1343678400,1,3
#esa2012,"Jul 30, 2012 21:00 (UTC)",1343682000,0,5
#esa2012,"Jul 30, 2012 22:00 (UTC)",1343685600,0,1
#esa2012,"Jul 30, 2012 23:00 (UTC)",1343689200,0,0
#esa2012,"Jul 31, 2012 00:00 (UTC)",1343692800,0,1
#esa2012,"Jul 31, 2012 01:00 (UTC)",1343696400,0,4
#esa2012,"Jul 31, 2012 02:00 (UTC)",1343700000,0,0
#esa2012,"Jul 31, 2012 03:00 (UTC)",1343703600,0,0
#esa2012,"Jul 31, 2012 04:00 (UTC)",1343707200,0,0
#esa2012,"Jul 31, 2012 05:00 (UTC)",1343710800,0,0
#esa2012,"Jul 31, 2012 06:00 (UTC)",1343714400,0,0
#esa2012,"Jul 31, 2012 07:00 (UTC)",1343718000,0,1
#esa2012,"Jul 31, 2012 08:00 (UTC)",1343721600,0,0
#esa2012,"Jul 31, 2012 09:00 (UTC)",1343725200,0,0
#esa2012,"Jul 31, 2012 10:00 (UTC)",1343728800,0,0
#esa2012,"Jul 31, 2012 11:00 (UTC)",1343732400,0,1
#esa2012,"Jul 31, 2012 12:00 (UTC)",1343736000,0,0
#esa2012,"Jul 31, 2012 13:00 (UTC)",1343739600,0,0
#esa2012,"Jul 31, 2012 14:00 (UTC)",1343743200,0,0
#esa2012,"Jul 31, 2012 15:00 (UTC)",1343746800,0,7
#esa2012,"Jul 31, 2012 16:00 (UTC)",1343750400,0,1
#esa2012,"Jul 31, 2012 17:00 (UTC)",1343754000,0,4
#esa2012,"Jul 31, 2012 18:00 (UTC)",1343757600,0,2
#esa2012,"Jul 31, 2012 19:00 (UTC)",1343761200,0,2
#esa2012,"Jul 31, 2012 20:00 (UTC)",1343764800,0,2
#esa2012,"Jul 31, 2012 21:00 (UTC)",1343768400,0,3
#esa2012,"Jul 31, 2012 22:00 (UTC)",1343772000,0,2
#esa2012,"Jul 31, 2012 23:00 (UTC)",1343775600,0,1
#esa2012,"Aug 01, 2012 00:00 (UTC)",1343779200,0,0
#esa2012,"Aug 01, 2012 01:00 (UTC)",1343782800,0,2
#esa2012,"Aug 01, 2012 02:00 (UTC)",1343786400,0,0
#esa2012,"Aug 01, 2012 03:00 (UTC)",1343790000,0,0
#esa2012,"Aug 01, 2012 04:00 (UTC)",1343793600,0,0
#esa2012,"Aug 01, 2012 05:00 (UTC)",1343797200,0,1
#esa2012,"Aug 01, 2012 06:00 (UTC)",1343800800,0,1
#esa2012,"Aug 01, 2012 07:00 (UTC)",1343804400,0,0
#esa2012,"Aug 01, 2012 08:00 (UTC)",1343808000,0,1
#esa2012,"Aug 01, 2012 09:00 (UTC)",1343811600,0,0
#esa2012,"Aug 01, 2012 10:00 (UTC)",1343815200,0,1
#esa2012,"Aug 01, 2012 11:00 (UTC)",1343818800,0,0
#esa2012,"Aug 01, 2012 12:00 (UTC)",1343822400,1,3
#esa2012,"Aug 01, 2012 13:00 (UTC)",1343826000,0,3
